,Date,Open
0,2020-05-09,302.3463322304795
1,2020-05-10,302.6386151877032
2,2020-05-11,303.1222770741681
3,2020-05-12,303.0417604119588
4,2020-05-13,303.27319788158064
5,2020-05-14,303.5396237417363
6,2020-05-15,303.73848832151305
7,2020-05-16,303.963864763904
8,2020-05-17,304.1945735893127
9,2020-05-18,304.4174307551079
10,2020-05-19,304.6421308556237
11,2020-05-20,304.86725700281755
12,2020-05-21,305.0912009679371
13,2020-05-22,305.3149328993997
14,2020-05-23,305.5383867650603
15,2020-05-24,305.76137397765183
16,2020-05-25,305.9839944164371
17,2020-05-26,306.2062471593337
18,2020-05-27,306.4281141087235
19,2020-05-28,306.64960676649713
20,2020-05-29,306.87072973667205
21,2020-05-30,307.09147862687996
22,2020-05-31,307.31185847388986
23,2020-06-01,307.53187338369617
24,2020-06-02,307.751518122874
25,2020-06-03,307.97080103375174
26,2020-06-04,308.1897254067457
27,2020-06-05,308.4082888192038
28,2020-06-06,308.6264928931575
29,2020-06-07,308.84434187762014
30,2020-06-08,309.06183620110903
31,2020-06-09,309.27897908821154
32,2020-06-10,309.4957735976543
33,2020-06-11,309.7122179421427
34,2020-06-12,309.9283145815291
35,2020-06-13,310.1440664046901
36,2020-06-14,310.3594761531633
37,2020-06-15,310.57454411625616
38,2020-06-16,310.7892717878255
39,2020-06-17,311.00366119455566
40,2020-06-18,311.2177130739823
41,2020-06-19,311.4314317144846
42,2020-06-20,311.6448183576092
43,2020-06-21,311.8578737045635
44,2020-06-22,312.07059545210944
45,2020-06-23,312.28299183681236
46,2020-06-24,312.49506248696537
47,2020-06-25,312.7068083924743
48,2020-06-26,312.91823053756184
49,2020-06-27,313.12932962118794
50,2020-06-28,313.3401066639822
51,2020-06-29,313.5505676675792
52,2020-06-30,313.76071139318015
53,2020-07-01,313.97053913952334
54,2020-07-02,314.1800539654602
55,2020-07-03,314.3892554139598
56,2020-07-04,314.59814617543145
57,2020-07-05,314.80672796990814
58,2020-07-06,315.01500047937753
59,2020-07-07,315.22296562325874
60,2020-07-08,315.43062522795606
61,2020-07-09,315.6379807285195
62,2020-07-10,315.8450338645769
63,2020-07-11,316.05178687043565
64,2020-07-12,316.2582401563327
65,2020-07-13,316.4643953137168
66,2020-07-14,316.6702529212442
67,2020-07-15,316.87581287698765
68,2020-07-16,317.08107905254343
69,2020-07-17,317.28605478366075
70,2020-07-18,317.4907379781155
71,2020-07-19,317.69512999100084
72,2020-07-20,317.8992342862743
73,2020-07-21,318.10305041050646
74,2020-07-22,318.3065796209189
75,2020-07-23,318.5098252717419
76,2020-07-24,318.71278821303116
77,2020-07-25,318.91546648328426
78,2020-07-26,319.1178631608254
79,2020-07-27,319.3199801918634
80,2020-07-28,319.5218173443794
81,2020-07-29,319.72337756273265
82,2020-07-30,319.92465827826555
83,2020-07-31,320.1256658874133
84,2020-08-01,320.32640085426345
85,2020-08-02,320.5268603584145
86,2020-08-03,320.7270504737025
87,2020-08-04,320.92697002885103
88,2020-08-05,321.1266199250685
89,2020-08-06,321.32600124470684
